Test No., Scheduling Method, Chunk Size, No. of Iterations,1 Thread(s),2 Thread(s),3 Thread(s),4 Thread(s),5 Thread(s),6 Thread(s),7 Thread(s),8 Thread(s)
1,STATIC,1000,14,6.62315,3.43089,3.24695,2.77328,2.89961,2.81561,2.80181,2.79321
2,STATIC,3000,14,6.62188,3.41009,3.27105,2.77586,2.94181,2.81126,2.78928,2.76723
3,STATIC,5000,14,6.5979,3.41554,3.29807,2.89739,2.95503,2.83538,2.82585,2.83348
4,DYNAMIC,1000,14,6.60766,3.39942,3.00274,2.72894,2.72178,2.7245,2.72632,2.73522
5,DYNAMIC,3000,14,6.61857,3.40272,3.01173,2.74811,2.82179,3.68354,2.99777,2.72788
6,DYNAMIC,5000,14,6.63963,3.38653,3.00939,2.74881,2.72241,2.72817,2.72886,2.73303
7,GUIDED,1000,14,6.58639,3.44583,3.32249,2.771,2.8449,2.88983,2.81692,2.78189
8,GUIDED,3000,14,6.59125,3.58105,3.34262,2.8175,2.82201,2.84613,2.79949,2.80035
9,GUIDED,5000,14,6.59341,3.44575,3.37168,2.75245,2.82359,2.83368,2.80505,2.83478
